media_id,selected_rank,expected_sha256,source_observed_sha256,artifact_filename,artifact_sha256,size_bytes,shape,dtype
IMG_007396,1,0820e41d50e1a7dfca38af8a17a681c774931d06f2618a6c652e9d91267826f4,0820e41d50e1a7dfca38af8a17a681c774931d06f2618a6c652e9d91267826f4,IMG_007396__r01.npy,0820e41d50e1a7dfca38af8a17a681c774931d06f2618a6c652e9d91267826f4,147584,4x96x96,float32
IMG_007396,2,a2b194a37c097662c3e624ee968a92bfb110d0163345556bf1772449cd3fe957,a2b194a37c097662c3e624ee968a92bfb110d0163345556bf1772449cd3fe957,IMG_007396__r02.npy,a2b194a37c097662c3e624ee968a92bfb110d0163345556bf1772449cd3fe957,147584,4x96x96,float32
IMG_007399,1,756f24aab5cd4203139e3095cc4e946684aefc5ebd1a3d0f4c3baa16c7a4f516,756f24aab5cd4203139e3095cc4e946684aefc5ebd1a3d0f4c3baa16c7a4f516,IMG_007399__r01.npy,756f24aab5cd4203139e3095cc4e946684aefc5ebd1a3d0f4c3baa16c7a4f516,147584,4x96x96,float32
IMG_007400,1,ba9458190a4e90c7e656c3a6b36d2ebdb8d5b9ca27ae366725832bd049902cee,ba9458190a4e90c7e656c3a6b36d2ebdb8d5b9ca27ae366725832bd049902cee,IMG_007400__r01.npy,ba9458190a4e90c7e656c3a6b36d2ebdb8d5b9ca27ae366725832bd049902cee,147584,4x96x96,float32
IMG_007404,1,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,IMG_007404__r01.npy,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,147584,4x96x96,float32
IMG_007404,2,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,IMG_007404__r02.npy,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,147584,4x96x96,float32
IMG_007406,1,e0538a1069bc83310c05d40db8544247cf73718380ae9062d1384094ae35ad83,e0538a1069bc83310c05d40db8544247cf73718380ae9062d1384094ae35ad83,IMG_007406__r01.npy,e0538a1069bc83310c05d40db8544247cf73718380ae9062d1384094ae35ad83,147584,4x96x96,float32
IMG_007407,1,abb7a083f0f6a641a876099e055f89f789b5f0b347e959b680eca6bae3bf0fd3,abb7a083f0f6a641a876099e055f89f789b5f0b347e959b680eca6bae3bf0fd3,IMG_007407__r01.npy,abb7a083f0f6a641a876099e055f89f789b5f0b347e959b680eca6bae3bf0fd3,147584,4x96x96,float32
IMG_007410,1,11ae2d3d279cc9825ed78a04ace4c538165f29650d91ce6c4c448e15780c190b,11ae2d3d279cc9825ed78a04ace4c538165f29650d91ce6c4c448e15780c190b,IMG_007410__r01.npy,11ae2d3d279cc9825ed78a04ace4c538165f29650d91ce6c4c448e15780c190b,147584,4x96x96,float32
IMG_007413,1,e4953a0cf1dd58b1f2e72554c940af20414ce0ed6b78481101796c7f05cde27b,e4953a0cf1dd58b1f2e72554c940af20414ce0ed6b78481101796c7f05cde27b,IMG_007413__r01.npy,e4953a0cf1dd58b1f2e72554c940af20414ce0ed6b78481101796c7f05cde27b,147584,4x96x96,float32
IMG_007413,2,88ef444f3bb3c8dbbc26a3286411a6d7a78eb9a921118aff96d8ba7489f494fe,88ef444f3bb3c8dbbc26a3286411a6d7a78eb9a921118aff96d8ba7489f494fe,IMG_007413__r02.npy,88ef444f3bb3c8dbbc26a3286411a6d7a78eb9a921118aff96d8ba7489f494fe,147584,4x96x96,float32
IMG_007415,1,15ed5d1b1c5df760f9d2f613d19267f9fd3a4cf6bd0bf071b6bde94c5bb9867e,15ed5d1b1c5df760f9d2f613d19267f9fd3a4cf6bd0bf071b6bde94c5bb9867e,IMG_007415__r01.npy,15ed5d1b1c5df760f9d2f613d19267f9fd3a4cf6bd0bf071b6bde94c5bb9867e,147584,4x96x96,float32
IMG_007416,1,39082dd61b42d54bc11492e20ec1d165c3db894f2269a402430644443ac4a543,39082dd61b42d54bc11492e20ec1d165c3db894f2269a402430644443ac4a543,IMG_007416__r01.npy,39082dd61b42d54bc11492e20ec1d165c3db894f2269a402430644443ac4a543,147584,4x96x96,float32
IMG_007417,1,04b3af3a37a29116b6289482153d69d814fc29593eefc56d36f4995dbb9f8989,04b3af3a37a29116b6289482153d69d814fc29593eefc56d36f4995dbb9f8989,IMG_007417__r01.npy,04b3af3a37a29116b6289482153d69d814fc29593eefc56d36f4995dbb9f8989,147584,4x96x96,float32
